,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,age_bins
7726,Nov,4,Monday,Toyota,Urban,Wednesday,Nov,5,Male,Married,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Collision,middle
7727,Nov,4,Wednesday,Honda,Urban,Wednesday,Nov,4,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1995,Collision,young
7728,Oct,2,Wednesday,Chevrolet,Rural,Friday,Oct,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,4 to 8 years,2 vehicles,1995,Collision,young
7729,Nov,1,Friday,Pontiac,Urban,Thursday,Nov,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,young
7730,Sep,3,Saturday,Honda,Urban,Thursday,Sep,5,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,middle
7731,Sep,3,Friday,Toyota,Rural,Monday,Dec,1,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,1,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,young
7732,Sep,2,Wednesday,Mazda,Urban,Wednesday,Sep,2,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,Internal,more than 5,no change,1 vehicle,1995,Liability,young
7733,Nov,1,Friday,Toyota,Urban,Friday,Mar,3,Male,Married,Third Party,Sedan - All Perils,Sedan,less than 20000,0,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,middle
7734,Aug,4,Monday,Pontiac,Urban,Monday,Aug,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,young
7735,Aug,3,Tuesday,Toyota,Rural,Thursday,Aug,3,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,1 year,1 vehicle,1995,Liability,young
7736,Aug,3,Tuesday,Mazda,Urban,Wednesday,Aug,3,Female,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,young
7737,Aug,2,Monday,Mazda,Urban,Monday,Aug,2,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,young
7738,Aug,1,Thursday,Mazda,Rural,Tuesday,Aug,5,Female,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,0,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,young
7739,Aug,1,Thursday,Chevrolet,Urban,Friday,Aug,1,Male,Single,Policy Holder,Utility - Collision,Utility,more than 69000,0,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,young
7740,Aug,1,Wednesday,Toyota,Urban,Wednesday,Aug,1,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,young
7741,Nov,1,Friday,Honda,Urban,Tuesday,Nov,3,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,middle
7742,Feb,4,Sunday,Honda,Urban,Monday,Mar,4,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,none,more than 30,none,2 years,21 to 25,No,No,External,none,no change,1 vehicle,1995,All Perils,teens
7743,Dec,2,Tuesday,Toyota,Urban,Thursday,Dec,3,Female,Single,Third Party,Sedan - All Perils,Sedan,less than 20000,0,400,4,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,young
7744,Nov,5,Tuesday,Chevrolet,Urban,Friday,Dec,1,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,young
7745,Nov,4,Tuesday,Pontiac,Urban,Monday,Nov,5,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,3,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,young
7746,Nov,3,Saturday,Toyota,Urban,Wednesday,Nov,4,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,middle
7747,Nov,3,Friday,Honda,Urban,Tuesday,Nov,4,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,young
7748,Nov,3,Friday,Pontiac,Urban,Wednesday,Nov,4,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,young
7749,Nov,2,Saturday,Chevrolet,Urban,Wednesday,Nov,4,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,3 years,26 to 30,No,No,External,3 to 5,4 to 8 years,3 to 4,1995,Collision,teens
7750,Nov,1,Saturday,Honda,Rural,Thursday,Nov,2,Male,Single,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,1,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,middle
7751,Nov,2,Thursday,Mazda,Urban,Friday,Nov,2,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,young
7752,Oct,2,Monday,Chevrolet,Urban,Tuesday,Oct,3,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,500,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,2 to 3 years,1 vehicle,1995,Collision,middle
7753,Oct,1,Wednesday,Mazda,Urban,Wednesday,Nov,5,Male,Married,Policy Holder,Sport - Collision,Sport,more than 69000,0,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,young
7754,Sep,3,Saturday,Toyota,Urban,Thursday,Oct,1,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,middle
7755,Aug,2,Sunday,Mazda,Urban,Monday,Aug,2,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,young
7756,Aug,2,Tuesday,Honda,Urban,Wednesday,Aug,2,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,middle
7757,Jul,4,Sunday,Pontiac,Urban,Monday,Jul,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,Collision,old
7758,Jul,4,Sunday,Honda,Urban,Tuesday,Jul,4,Male,Married,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,young
7759,Jul,3,Monday,Toyota,Urban,Thursday,Jul,4,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,middle
7760,Jul,3,Thursday,Honda,Urban,Tuesday,Jul,3,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,young
7761,Jul,2,Tuesday,Honda,Urban,Wednesday,Aug,3,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,young
7762,Jul,1,Monday,Chevrolet,Rural,Thursday,Jul,2,Female,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,6 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,middle
7763,Jul,1,Monday,Pontiac,Urban,Monday,Jul,1,Male,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,middle
7764,Jun,1,Saturday,Chevrolet,Urban,Monday,Jun,2,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,Collision,young
7765,Jun,1,Thursday,Honda,Urban,Monday,Jun,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,middle
7766,May,3,Sunday,Chevrolet,Rural,Monday,May,3,Male,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,middle
7767,May,3,Sunday,Pontiac,Urban,Tuesday,May,3,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,young
7768,May,1,Tuesday,Toyota,Urban,Wednesday,May,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,young
7769,Mar,2,Monday,Toyota,Urban,Monday,Mar,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,young
7770,Feb,3,Wednesday,VW,Urban,Tuesday,Mar,1,Male,Single,Policy Holder,Utility - All Perils,Utility,more than 69000,0,400,4,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,1 to 2,4 to 8 years,2 vehicles,1995,All Perils,old
7771,Dec,3,Sunday,Pontiac,Rural,Monday,Dec,3,Female,Married,Policy Holder,Sedan - Liability,Sport,less than 20000,0,400,4,more than 30,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability,middle
7772,Sep,4,Monday,Dodge,Urban,Monday,Sep,4,Female,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,middle
7773,Dec,4,Saturday,Pontiac,Rural,Tuesday,Dec,4,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,young
7774,Jan,4,Thursday,Toyota,Urban,Friday,Feb,1,Female,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,young
7775,Jan,4,Wednesday,Honda,Urban,Thursday,Apr,1,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability,middle
7776,Feb,1,Thursday,Pontiac,Rural,Thursday,Feb,2,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability,middle
7777,Mar,4,Thursday,Pontiac,Urban,Wednesday,Apr,1,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,old
7778,Mar,4,Monday,Toyota,Urban,Monday,Mar,4,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,young
7779,Jun,1,Sunday,Pontiac,Urban,Tuesday,Jun,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,1,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision,old
7780,Aug,3,Tuesday,Chevrolet,Urban,Wednesday,Aug,4,Male,Married,Third Party,Sedan - Collision,Sedan,40000 to 59000,0,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,Internal,1 to 2,no change,1 vehicle,1995,Collision,young
7781,Aug,3,Wednesday,VW,Urban,Wednesday,Aug,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,700,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,young
7782,Oct,2,Thursday,Pontiac,Urban,Thursday,Oct,2,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,young
7783,Oct,3,Friday,Ford,Urban,Friday,Oct,4,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,young
7784,Oct,1,Monday,Saab,Urban,Monday,Oct,1,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,1,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,middle
7785,Jun,3,Friday,Toyota,Urban,Tuesday,Jun,3,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,middle
7786,Jun,3,Friday,Mazda,Urban,Wednesday,Jun,4,Male,Married,Policy Holder,Sport - Collision,Sport,more than 69000,0,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,young
7787,Nov,1,Sunday,Pontiac,Rural,Friday,Nov,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,middle
7788,Jun,3,Sunday,Honda,Urban,Monday,Jun,3,Male,Married,Third Party,Sedan - All Perils,Sedan,less than 20000,0,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,young
7789,Nov,2,Monday,Honda,Urban,Wednesday,Nov,2,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,middle
7790,Nov,1,Friday,Toyota,Urban,Monday,Nov,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,3 to 4,1995,All Perils,middle
7791,Oct,4,Friday,Mazda,Urban,Wednesday,Nov,5,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,none,7 years,31 to 35,Yes,No,External,1 to 2,4 to 8 years,2 vehicles,1995,Collision,young
7792,Aug,3,Monday,Toyota,Urban,Thursday,Aug,3,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,young
7793,Feb,4,Tuesday,Pontiac,Urban,Wednesday,Feb,4,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,young
7794,Jan,5,Monday,Accura,Urban,Thursday,Mar,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,Internal,more than 5,no change,1 vehicle,1995,Collision,young
7795,Apr,2,Friday,Pontiac,Urban,Monday,Jul,1,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,young
7796,Mar,5,Thursday,Honda,Urban,Monday,Apr,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,400,1,more than 30,more than 30,none,new,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,middle
7797,Mar,5,Monday,Mazda,Urban,Monday,Mar,5,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,1,3 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,young
7798,Nov,2,Monday,Ford,Urban,Wednesday,Mar,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,1,400,4,more than 30,more than 30,2 to 4,6 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,old
7799,Jun,2,Saturday,Toyota,Urban,Wednesday,Jun,3,Female,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,middle
7800,May,5,Tuesday,Honda,Urban,Wednesday,Jun,1,Male,Married,Third Party,Sedan - Liability,Sport,30000 to 39000,0,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,young
7801,Aug,3,Thursday,Honda,Urban,Monday,Nov,5,Female,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,young
7802,Aug,2,Saturday,Pontiac,Urban,Saturday,Aug,2,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,middle
7803,Sep,3,Thursday,Accura,Urban,Tuesday,Sep,3,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,0,500,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,1995,All Perils,young
7804,Nov,2,Monday,Toyota,Urban,Monday,Nov,2,Male,Married,Third Party,Sedan - All Perils,Sedan,more than 69000,0,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,young
7805,Oct,4,Thursday,Toyota,Urban,Thursday,Oct,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,young
7806,Oct,4,Tuesday,Toyota,Urban,Monday,Nov,4,Male,Married,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,middle
7807,Feb,4,Tuesday,Pontiac,Urban,Monday,Feb,4,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,middle
7808,Mar,4,Friday,Honda,Urban,Wednesday,Mar,5,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,middle
7809,May,1,Monday,Mazda,Urban,Thursday,May,2,Female,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,2,more than 30,more than 30,none,5 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,middle
7810,Jul,2,Friday,Pontiac,Urban,Monday,Jul,3,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,young
7811,Jun,2,Friday,Pontiac,Urban,Tuesday,Jun,2,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,1,7 years,over 65,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,old
7812,Jul,3,Sunday,Pontiac,Urban,Tuesday,Jul,4,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,700,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,4 to 8 years,2 vehicles,1995,Liability,middle
7813,Jul,2,Tuesday,Dodge,Urban,Friday,Jul,4,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,young
7814,Aug,3,Thursday,Nisson,Urban,Friday,Aug,3,Male,Married,Third Party,Sedan - All Perils,Sedan,more than 69000,0,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,young
7815,Aug,2,Wednesday,Accura,Urban,Thursday,Aug,2,Male,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,2,8 to 15,8 to 15,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,young
7816,Oct,5,Tuesday,Pontiac,Urban,Friday,Nov,1,Male,Married,Third Party,Sedan - All Perils,Sedan,less than 20000,0,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,middle
7817,Nov,1,Wednesday,Chevrolet,Urban,Tuesday,Nov,3,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,middle
7818,Dec,1,Sunday,Mazda,Urban,Monday,Dec,1,Female,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,young
7819,Nov,5,Thursday,Accura,Urban,Tuesday,Dec,1,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,4,more than 30,more than 30,2 to 4,6 years,41 to 50,Yes,No,External,1 to 2,no change,1 vehicle,1995,Liability,middle
7820,Nov,5,Thursday,Mazda,Rural,Friday,Dec,1,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,young
7821,Nov,2,Tuesday,Chevrolet,Rural,Tuesday,Nov,3,Male,Single,Policy Holder,Utility - All Perils,Utility,more than 69000,1,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,young
7822,Nov,2,Tuesday,Toyota,Urban,Wednesday,Nov,2,Female,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,1,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,young
7823,Nov,2,Saturday,Pontiac,Urban,Thursday,Dec,3,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,young
7824,Nov,2,Monday,Toyota,Urban,Wednesday,Nov,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,young
7825,Oct,2,Friday,Toyota,Rural,Tuesday,Oct,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,5 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,young
7826,Aug,2,Friday,Pontiac,Urban,Monday,Aug,3,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,1 to 2,1 year,1 vehicle,1995,Liability,middle
7827,Aug,2,Friday,Mazda,Rural,Friday,Aug,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,middle
7828,Nov,2,Tuesday,Toyota,Urban,Wednesday,Nov,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,middle
7829,Jul,4,Sunday,Chevrolet,Urban,Tuesday,Jul,4,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,young
7830,Jun,1,Tuesday,Mazda,Urban,Tuesday,Jul,1,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,young
7831,Jun,1,Friday,Dodge,Rural,Tuesday,Jun,1,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,3 to 4,1995,Collision,young
7832,Apr,5,Sunday,Toyota,Urban,Thursday,May,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,young
